,positive_score,negative_score,Polarity_Score,subjectivity_score,avg_senetence_length,Percentage_of_Complex_words,Fog_Index,avg_no_of_words_per_sentence,complex_Word_Count,word_count,syllable_count,personal_pronouns,avg_word_length
20,26,46,-0.27777777391975317,0.0886699506297168,13.454545454545455,0.5891891891891892,5.617493857493859,13.454545454545455,436,737,2.863760217983651,7,7.644504748982361
21,17,8,0.35999998560000057,0.06631299717158357,10.393939393939394,0.5247813411078717,4.367488294018907,10.393939393939394,180,341,2.8790560471976403,5,7.6627565982404695
22,35,14,0.4285714198250731,0.05072463762864944,13.220588235294118,0.5083426028921023,5.491572335274488,13.220588235294118,457,896,2.718066743383199,8,7.058035714285714
23,27,3,0.7999999733333342,0.05791505780325278,16.5,0.5606060606060606,6.824242424242425,16.5,259,461,2.871331828442438,2,7.429501084598699
24,24,11,0.37142856081632686,0.04527813706949788,16.477272727272727,0.4220689655172414,6.7597366771159875,16.477272727272727,306,725,2.536903039073806,5,6.655172413793103
25,28,14,0.3333333253968256,0.05526315782202216,12.481481481481481,0.5029673590504451,5.19377953621277,12.481481481481481,339,673,2.75625,2,7.1381872213967315
26,31,25,0.10714285522959188,0.06414662077417341,14.066666666666666,0.43483412322274884,5.800600315955767,14.066666666666666,367,838,2.5260545905707197,20,6.640811455847255
27,39,26,0.199999996923077,0.07584597424055312,14.941176470588236,0.5183727034120735,6.1838196696001235,14.941176470588236,395,762,2.8127544097693353,8,7.402887139107611
28,71,31,0.39215685890042296,0.07538802655181963,15.395061728395062,0.5637530072173216,6.383525894244954,15.395061728395062,703,1247,2.838235294117647,2,7.513231756214916
29,62,36,0.2653061197417743,0.10061601632380286,12.0,0.46283783783783783,4.985135135135136,12.0,411,883,2.581901489117984,7,6.867497168742922
30,70,37,0.30841121207092326,0.08901830275456048,12.55056179775281,0.5720680393912265,5.249051934857615,12.55056179775281,639,1112,2.822944896115628,3,7.518884892086331
31,68,22,0.5111111054320988,0.08982035919179605,11.459770114942529,0.4543630892678034,4.765653281684133,11.459770114942529,453,992,2.6261491317671095,18,6.8125
32,62,23,0.4588235240138409,0.07252559720774265,12.882352941176471,0.4712328767123288,5.34143432715552,12.882352941176471,516,1087,2.6290018832391713,13,7.042318307267709
33,49,22,0.38028168478476504,0.08114285705012245,13.474576271186441,0.4867924528301887,5.584547489606653,13.474576271186441,387,790,2.6305732484076434,19,7.139240506329114
34,31,12,0.44186045484045455,0.07072368409420447,10.84,0.4981549815498155,4.535261992619926,10.84,270,538,2.6849056603773587,8,7.243494423791821
35,42,13,0.5272727176859506,0.09769094121191663,13.1,0.46564885496183206,5.4262595419847335,13.1,244,523,2.5505836575875485,3,6.940726577437858
36,71,39,0.2909090882644628,0.07999999994181818,14.6,0.4923896499238965,6.036955859969559,14.6,647,1308,2.689388071262587,10,6.954128440366972
37,51,61,-0.08928571348852042,0.07881773393468139,11.682692307692308,0.4732510288065844,4.862377334599557,11.682692307692308,575,1208,2.554726368159204,2,6.995033112582782
38,41,20,0.34426228943832315,0.07159624404742225,13.576271186440678,0.5642946317103621,5.656226327260416,13.576271186440678,452,798,2.8845671267252198,9,7.681704260651629
39,35,28,0.11111110934744271,0.06716417903287401,11.246753246753247,0.4665127020785219,4.685306379532707,11.246753246753247,404,865,2.650717703349282,7,6.838150289017341
40,63,23,0.4651162736614387,0.09247311818013643,11.925,0.49266247379454925,4.96706498951782,11.925,470,951,2.674074074074074,33,7.090431125131441
41,69,21,0.5333333274074075,0.08450704217417178,11.68235294117647,0.500503524672709,4.873142586339672,11.68235294117647,497,990,2.749229188078109,12,7.196969696969697
42,30,0,0.9999999666666678,0.06224066377128493,16.653846153846153,0.5727482678983834,6.890637768697815,16.653846153846153,248,433,2.9626168224299065,1,7.71824480369515
43,85,39,0.3709677389438086,0.1290322579302474,88.91666666666667,0.45735707591377694,35.74960949703218,88.91666666666667,488,1067,2.5526819923371646,16,6.73008434864105
44,22,0,0.9999999545454565,0.03773584899187676,10.979591836734693,0.5613382899628253,4.616372050679007,10.979591836734693,302,536,2.8380414312617703,1,7.559701492537314
45,19,6,0.5199999792000009,0.0419463086544525,11.866666666666667,0.5805243445692884,4.9788764044943825,11.866666666666667,310,534,2.8969465648854964,1,7.938202247191011
46,5,3,0.24999996875000394,0.031128404548138505,21.727272727272727,0.5774058577405857,8.921871434005325,21.727272727272727,138,239,3.0,3,8.0
47,29,69,-0.4081632611411912,0.10051282040973045,14.564516129032258,0.5204872646733112,6.034001357482229,14.564516129032258,470,898,2.668552036199095,3,7.141425389755011
48,22,15,0.18918918407596802,0.06303236786536223,14.833333333333334,0.4887640449438202,6.128838951310862,14.833333333333334,261,534,2.7209302325581395,4,7.121722846441948
49,60,38,0.22448979362765517,0.08298052490856855,11.536842105263158,0.4698905109489051,4.802693046484826,11.536842105263158,515,1091,2.6401480111008326,10,7.03666361136572
50,44,3,0.8723404069714807,0.08719851560816602,10.16326530612245,0.5562248995983936,4.287796082288337,10.16326530612245,277,498,2.803680981595092,5,7.504016064257028
51,10,1,0.8181817438016598,0.028497409252597385,17.0,0.48179271708683474,6.992717086834734,17.0,172,357,2.764872521246459,1,7.215686274509804
52,27,7,0.5882352768166096,0.05422647519262125,14.948717948717949,0.4939965694682676,6.177085807274487,14.948717948717949,288,581,2.634446397188049,5,6.951807228915663
53,18,8,0.3846153698224858,0.05555555543684711,16.32,0.5220588235294118,6.736823529411765,16.32,213,407,2.94,2,7.54054054054054
54,20,8,0.4285714132653067,0.07887323921444157,10.125,0.5524691358024691,4.2709876543209875,10.125,179,321,2.987538940809969,1,7.838006230529595
55,10,0,0.99999990000001,0.038759689772249264,15.785714285714286,0.5972850678733032,6.553199741435036,15.785714285714286,132,221,3.114678899082569,3,8.212669683257918
56,28,37,-0.138461536331361,0.10483870950832466,9.474576271186441,0.4347048300536673,3.9637124404960433,9.474576271186441,243,552,2.58018018018018,14,6.8768115942028984
57,13,2,0.7333332844444478,0.057915057691447655,16.714285714285715,0.5512820512820513,6.906227106227107,16.714285714285715,129,233,2.9434782608695653,2,7.682403433476395
58,38,10,0.5833333211805558,0.08135593206549842,12.113636363636363,0.5966228893058161,5.084103701176872,12.113636363636363,318,533,3.005736137667304,1,7.806754221388368
59,6,7,-0.07692307100591762,0.055084745529301926,17.5,0.5523809523809524,7.220952380952382,17.5,116,208,2.970731707317073,5,7.8125
60,14,25,-0.2820512748191981,0.11711711676541406,13.375,0.4984423676012461,5.549376947040499,13.375,160,312,2.7886435331230284,6,7.461538461538462
61,31,46,-0.19480519227525725,0.06353135308289491,14.038461538461538,0.54337899543379,5.832736213558132,14.038461538461538,595,1094,2.8400735294117645,17,7.612431444241317
62,46,23,0.33333332850241554,0.06725146192275686,13.72,0.43537414965986393,5.662149659863946,13.72,448,1021,2.5844155844155843,19,6.797257590597454
63,38,26,0.18749999707031256,0.06066350705150378,12.986301369863014,0.4430379746835443,5.371735737818624,12.986301369863014,420,945,2.554712892741062,17,6.795767195767196
64,28,5,0.6969696758494038,0.05709342550675878,7.309859154929577,0.48940269749518306,3.119704740969904,7.309859154929577,254,510,2.6824457593688362,1,7.152941176470589
65,47,8,0.7090908961983474,0.06432748530488014,13.03225806451613,0.4715346534653465,5.401517087192591,13.03225806451613,381,805,2.5647798742138366,5,6.860869565217391
